larva,side,rod,length,ate,Food_conc,Food_species,fed,lit,condition,larvae_per_well,lar_ml,hpf,dpf,species
13,R,PO,89.1,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
13,R,ALA,155.9,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
13,L,BR,167.9,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
13,L,PO,90,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
13,L,ALA,155.3,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
14,R,BR,183.1,YES,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
14,R,PO,98.2,YES,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
14,R,ALA,NA,YES,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
14,L,BR,180.8,YES,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
14,L,PO,106.7,YES,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
14,L,ALA,150.6,YES,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
15,R,BR,173,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
15,R,PO,89.3,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
15,R,ALA,NA,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
15,L,BR,168.1,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
15,L,PO,90.9,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
15,L,ALA,127.8,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
16,R,BR,180.1,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
16,R,PO,102.9,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
16,R,ALA,NA,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
16,L,BR,172.4,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
16,L,PO,118.9,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
16,L,ALA,146.4,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
17,R,BR,177.9,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
17,R,PO,109.3,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
17,R,ALA,142.6,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
17,L,BR,171.4,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
17,L,PO,105.5,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
17,L,ALA,132.7,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
18,R,BR,163.3,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
18,R,PO,124.6,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
18,R,ALA,169.4,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
18,L,BR,162.6,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
18,L,PO,91,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
18,L,ALA,165.3,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
19,R,BR,174.2,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
19,R,PO,101.1,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
19,R,ALA,147.6,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
19,L,BR,175.9,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
19,L,PO,106.5,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
19,L,ALA,164.7,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
20,R,BR,170.1,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
20,R,PO,114.8,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
20,R,ALA,NA,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
20,L,BR,179.4,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
20,L,PO,113.2,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
20,L,ALA,142.6,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
21,R,BR,177.3,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
21,R,PO,122.4,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
21,R,ALA,NA,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
21,L,BR,170.2,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
21,L,PO,112.6,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
21,L,ALA,NA,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
22,R,BR,163.4,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
22,R,PO,103.5,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
22,R,ALA,193.3,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
22,L,BR,165.3,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
22,L,PO,122.4,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
22,L,ALA,NA,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
23,R,BR,184.7,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
23,R,PO,100.5,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
23,R,ALA,NA,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
23,L,BR,178.8,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
23,L,PO,105.9,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
23,L,ALA,145,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
24,R,BR,163.7,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
24,R,PO,102.1,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
24,R,ALA,172.5,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
24,L,BR,164.1,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
24,L,PO,116,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
24,L,ALA,158.9,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
25,R,BR,160.7,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
25,R,PO,136.9,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
25,R,ALA,153.9,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
25,L,BR,160.4,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
25,L,PO,138.3,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
25,L,ALA,169.5,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
26,R,BR,178.6,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
26,R,PO,110.9,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
26,R,ALA,153.4,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
26,L,BR,170.2,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
26,L,PO,123.7,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
26,L,ALA,179.7,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
27,R,BR,173.9,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
27,R,PO,115.8,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
27,R,ALA,NA,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
27,L,BR,173.2,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
27,L,PO,122.1,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
27,L,ALA,189.8,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
28,R,BR,165.5,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
28,R,PO,142.3,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
28,R,ALA,184.1,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
28,L,BR,170.9,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
28,L,PO,141.4,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
28,L,ALA,171.2,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
29,R,BR,168.1,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
29,R,PO,137.1,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
29,R,ALA,182.2,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
29,L,BR,163.3,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
29,L,PO,143.4,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
29,L,ALA,179.5,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
30,R,BR,170,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
30,R,PO,115.2,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
30,R,ALA,143.8,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
30,L,BR,163,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
30,L,PO,114.9,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
30,L,ALA,142.9,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
31,R,BR,174.8,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
31,R,PO,111.4,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
31,R,ALA,NA,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
31,L,BR,175.8,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
31,L,PO,109,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
31,L,ALA,158.4,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
32,R,BR,167.8,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
32,R,PO,105.7,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
32,R,ALA,144.7,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
32,L,BR,171.1,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
32,L,PO,105.5,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
32,L,ALA,146.1,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
33,R,BR,181.8,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
33,R,PO,87.8,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
33,R,ALA,134.2,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
33,L,BR,177.6,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
33,L,PO,89.7,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
33,L,ALA,139.5,NO,0,NO,Starved,LD,DMSO,100,25,144,6,Sp
34,R,BR,173.2,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
34,R,PO,80.8,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
34,R,ALA,127.3,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
34,L,BR,174.3,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
34,L,PO,84.5,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
34,L,ALA,NA,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
35,R,BR,165.5,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
35,R,PO,95.5,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
35,R,ALA,140.8,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
35,L,BR,159.7,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
35,L,PO,74.5,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
35,L,ALA,146.3,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
36,R,BR,175.4,YES,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
36,R,PO,108.6,YES,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
36,R,ALA,155.4,YES,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
36,L,BR,177.3,YES,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
36,L,PO,109.3,YES,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
36,L,ALA,NA,YES,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
37,R,BR,178.4,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
37,R,PO,87.5,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
37,R,ALA,NA,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
37,L,BR,170.8,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
37,L,PO,107.1,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
37,L,ALA,146.6,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
38,R,BR,174.1,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
38,R,PO,62.5,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
38,R,ALA,123.9,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
38,L,BR,164.3,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
38,L,PO,63.3,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
38,L,ALA,138.5,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
39,R,BR,161.2,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
39,R,PO,78.3,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
39,R,ALA,139.5,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
39,L,BR,162.7,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
39,L,PO,84.7,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
39,L,ALA,132.2,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
40,R,BR,160.5,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
40,R,PO,90.9,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
40,R,ALA,149.3,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
40,L,BR,168.1,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
40,L,PO,110.1,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
40,L,ALA,150.6,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
41,R,BR,174.6,YES,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
41,R,PO,90.7,YES,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
41,R,ALA,137.7,YES,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
41,L,BR,173.1,YES,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
41,L,PO,95.8,YES,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
41,L,ALA,115.7,YES,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
42,R,BR,160,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
42,R,PO,80.7,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
42,R,ALA,127.4,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
42,L,BR,163.8,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
42,L,PO,86.1,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
42,L,ALA,134,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
43,R,BR,NA,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
43,R,PO,85.6,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
43,R,ALA,NA,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
43,L,BR,NA,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
43,L,PO,NA,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
43,L,ALA,NA,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
44,R,BR,161.8,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
44,R,PO,85.3,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
44,R,ALA,NA,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
44,L,BR,153.3,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
44,L,PO,89.5,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
44,L,ALA,NA,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
45,R,BR,156.7,YES,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
45,R,PO,86.9,YES,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
45,R,ALA,NA,YES,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
45,L,BR,162.6,YES,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
45,L,PO,77.4,YES,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
45,L,ALA,117.8,YES,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
46,R,BR,167.5,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
46,R,PO,77.6,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
46,R,ALA,138,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
46,L,BR,165.5,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
46,L,PO,94.3,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
46,L,ALA,143.5,NO,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
47,R,BR,170.9,YES,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
47,R,PO,92.5,YES,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
47,R,ALA,NA,YES,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
47,L,BR,165.8,YES,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
47,L,PO,86.8,YES,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
47,L,ALA,NA,YES,5,D_tertiolecta,Fed,DD,DMSO,100,25,144,6,Sp
48,R,BR,166,NO,0,NO,Starved,DD,DMSO,100,25,144,6,Sp
48,R,PO,93.8,NO,0,NO,Starved,DD,DMSO,100,25,144,6,Sp
48,R,ALA,135.7,NO,0,NO,Starved,DD,DMSO,100,25,144,6,Sp
48,L,BR,163,NO,0,NO,Starved,DD,DMSO,100,25,144,6,Sp
48,L,PO,100.1,NO,0,NO,Starved,DD,DMSO,100,25,144,6,Sp
48,L,ALA,147.6,NO,0,NO,Starved,DD,DMSO,100,25,144,6,Sp
49,R,BR,173.7,NO,0,NO,Starved,DD,DMSO,100,25,144,6,Sp
49,R,PO,108.1,NO,0,NO,Starved,DD,DMSO,100,25,144,6,Sp
49,R,ALA,NA,NO,0,NO,Starved,DD,DMSO,100,25,144,6,Sp
49,L,BR,NA,NO,0,NO,Starved,DD,DMSO,100,25,144,6,Sp
49,L,PO,90.6,NO,0,NO,Starved,DD,DMSO,100,25,144,6,Sp
49,L,ALA,NA,NO,0,NO,Starved,DD,DMSO,100,25,144,6,Sp
50,R,BR,171.8,NO,0,NO,Starved,DD,DMSO,100,25,144,6,Sp
